level_set,level,instance_index,seed,sample_index,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,sampled_edges,expected_f1,midpoint_envelope,directed_f1,dag_shd
v0_like_density_probe,5,0,20760427,0,10,12,45,0.26666666666666666,15,10,1.5,0,39,0.15472678008892696,0.1739130434782609,0.2745098039215686,33.0
v0_like_density_probe,5,0,20760427,1,10,12,45,0.26666666666666666,15,10,1.5,0,33,0.15472678008892696,0.1739130434782609,0.3555555555555555,28.0
v0_like_density_probe,5,0,20760427,2,10,12,45,0.26666666666666666,15,10,1.5,0,37,0.15472678008892696,0.1739130434782609,0.0,40.0
v0_like_density_probe,5,0,20760427,3,10,12,45,0.26666666666666666,15,10,1.5,0,43,0.15472678008892696,0.1739130434782609,0.10909090909090909,41.0
v0_like_density_probe,5,0,20760427,4,10,12,45,0.26666666666666666,15,10,1.5,0,0,0.15472678008892696,0.1739130434782609,0.0,12.0
v0_like_density_probe,5,1,20760428,0,10,12,45,0.26666666666666666,15,10,1.5,0,44,0.15472678008892696,0.1739130434782609,0.14285714285714288,41.0
v0_like_density_probe,5,1,20760428,1,10,12,45,0.26666666666666666,15,10,1.5,0,31,0.15472678008892696,0.1739130434782609,0.3255813953488372,26.0
v0_like_density_probe,5,1,20760428,2,10,12,45,0.26666666666666666,15,10,1.5,0,34,0.15472678008892696,0.1739130434782609,0.1739130434782609,31.0
v0_like_density_probe,5,1,20760428,3,10,12,45,0.26666666666666666,15,10,1.5,0,14,0.15472678008892696,0.1739130434782609,0.23076923076923075,19.0
v0_like_density_probe,5,1,20760428,4,10,12,45,0.26666666666666666,15,10,1.5,0,9,0.15472678008892696,0.1739130434782609,0.09523809523809525,19.0
d7_grid,0,0,20260427,0,7,7,21,0.3333333333333333,50,15,1.0,1,4,0.17666367768538524,0.2,0.18181818181818182,9.0
d7_grid,0,0,20260427,1,7,7,21,0.3333333333333333,50,15,1.0,1,9,0.17666367768538524,0.2,0.125,11.0
d7_grid,0,0,20260427,2,7,7,21,0.3333333333333333,50,15,1.0,1,19,0.17666367768538524,0.2,0.23076923076923078,16.0
d7_grid,0,0,20260427,3,7,7,21,0.3333333333333333,50,15,1.0,1,7,0.17666367768538524,0.2,0.14285714285714285,11.0
d7_grid,0,0,20260427,4,7,7,21,0.3333333333333333,50,15,1.0,1,3,0.17666367768538524,0.2,0.2,8.0
d7_grid,0,1,20260428,0,7,7,21,0.3333333333333333,50,15,1.0,1,18,0.17666367768538524,0.2,0.24,16.0
d7_grid,0,1,20260428,1,7,7,21,0.3333333333333333,50,15,1.0,1,19,0.17666367768538524,0.2,0.23076923076923078,18.0
d7_grid,0,1,20260428,2,7,7,21,0.3333333333333333,50,15,1.0,1,7,0.17666367768538524,0.2,0.14285714285714285,10.0
d7_grid,0,1,20260428,3,7,7,21,0.3333333333333333,50,15,1.0,1,20,0.17666367768538524,0.2,0.4444444444444444,14.0
d7_grid,0,1,20260428,4,7,7,21,0.3333333333333333,50,15,1.0,1,17,0.17666367768538524,0.2,0.0,19.0
d7_grid,1,0,20360427,0,7,7,21,0.3333333333333333,25,15,1.0,1,6,0.17666367768538524,0.2,0.0,11.0
d7_grid,1,0,20360427,1,7,7,21,0.3333333333333333,25,15,1.0,1,6,0.17666367768538524,0.2,0.30769230769230765,9.0
d7_grid,1,0,20360427,2,7,7,21,0.3333333333333333,25,15,1.0,1,16,0.17666367768538524,0.2,0.08695652173913043,18.0
d7_grid,1,0,20360427,3,7,7,21,0.3333333333333333,25,15,1.0,1,21,0.17666367768538524,0.2,0.5,14.0
d7_grid,1,0,20360427,4,7,7,21,0.3333333333333333,25,15,1.0,1,16,0.17666367768538524,0.2,0.17391304347826086,15.0
d7_grid,1,1,20360428,0,7,7,21,0.3333333333333333,25,15,1.0,1,3,0.17666367768538524,0.2,0.2,8.0
d7_grid,1,1,20360428,1,7,7,21,0.3333333333333333,25,15,1.0,1,2,0.17666367768538524,0.2,0.0,9.0
d7_grid,1,1,20360428,2,7,7,21,0.3333333333333333,25,15,1.0,1,6,0.17666367768538524,0.2,0.0,12.0
d7_grid,1,1,20360428,3,7,7,21,0.3333333333333333,25,15,1.0,1,9,0.17666367768538524,0.2,0.5,8.0
d7_grid,1,1,20360428,4,7,7,21,0.3333333333333333,25,15,1.0,1,20,0.17666367768538524,0.2,0.14814814814814817,18.0
d7_grid,2,0,20460427,0,7,7,21,0.3333333333333333,15,15,1.0,1,9,0.17666367768538524,0.2,0.0,13.0
d7_grid,2,0,20460427,1,7,7,21,0.3333333333333333,15,15,1.0,1,3,0.17666367768538524,0.2,0.0,10.0
d7_grid,2,0,20460427,2,7,7,21,0.3333333333333333,15,15,1.0,1,8,0.17666367768538524,0.2,0.0,12.0
d7_grid,2,0,20460427,3,7,7,21,0.3333333333333333,15,15,1.0,1,16,0.17666367768538524,0.2,0.17391304347826086,15.0
d7_grid,2,0,20460427,4,7,7,21,0.3333333333333333,15,15,1.0,1,4,0.17666367768538524,0.2,0.0,9.0
d7_grid,2,1,20460428,0,7,7,21,0.3333333333333333,15,15,1.0,1,20,0.17666367768538524,0.2,0.14814814814814817,18.0
d7_grid,2,1,20460428,1,7,7,21,0.3333333333333333,15,15,1.0,1,6,0.17666367768538524,0.2,0.15384615384615383,9.0
d7_grid,2,1,20460428,2,7,7,21,0.3333333333333333,15,15,1.0,1,8,0.17666367768538524,0.2,0.39999999999999997,9.0
d7_grid,2,1,20460428,3,7,7,21,0.3333333333333333,15,15,1.0,1,14,0.17666367768538524,0.2,0.19047619047619047,14.0
d7_grid,2,1,20460428,4,7,7,21,0.3333333333333333,15,15,1.0,1,8,0.17666367768538524,0.2,0.26666666666666666,11.0
d7_grid,3,0,20560427,0,7,6,21,0.2857142857142857,50,15,1.0,1,3,0.16040596727905854,0.18181818181818182,0.0,7.0
d7_grid,3,0,20560427,1,7,6,21,0.2857142857142857,50,15,1.0,1,3,0.16040596727905854,0.18181818181818182,0.2222222222222222,7.0
d7_grid,3,0,20560427,2,7,6,21,0.2857142857142857,50,15,1.0,1,10,0.16040596727905854,0.18181818181818182,0.5,8.0
d7_grid,3,0,20560427,3,7,6,21,0.2857142857142857,50,15,1.0,1,17,0.16040596727905854,0.18181818181818182,0.1739130434782609,16.0
d7_grid,3,0,20560427,4,7,6,21,0.2857142857142857,50,15,1.0,1,8,0.16040596727905854,0.18181818181818182,0.0,12.0
d7_grid,3,1,20560428,0,7,6,21,0.2857142857142857,50,15,1.0,1,17,0.16040596727905854,0.18181818181818182,0.1739130434782609,15.0
d7_grid,3,1,20560428,1,7,6,21,0.2857142857142857,50,15,1.0,1,19,0.16040596727905854,0.18181818181818182,0.16,18.0
d7_grid,3,1,20560428,2,7,6,21,0.2857142857142857,50,15,1.0,1,1,0.16040596727905854,0.18181818181818182,0.0,7.0
d7_grid,3,1,20560428,3,7,6,21,0.2857142857142857,50,15,1.0,1,1,0.16040596727905854,0.18181818181818182,0.0,7.0
d7_grid,3,1,20560428,4,7,6,21,0.2857142857142857,50,15,1.0,1,0,0.16040596727905854,0.18181818181818182,0.0,6.0
