d,k,rho,dag_seed,n_obs,undirected_fraction,num_undirected_edges,min_abs_partial_correlation,cond_size_at_min,fisher_z_power
6,6,0.4,4,150,0.3333333333333333,2,0.6187583759593116,3,0.9999999999906561
6,6,0.4,4,600,0.3333333333333333,2,0.6187583759593116,3,1.0
6,6,0.4,5,15,0.5,3,0.2829402643643656,2,0.1491384910647353
6,6,0.4,5,25,0.5,3,0.2829402643643656,2,0.254906153761462
6,6,0.4,5,50,0.5,3,0.2829402643643656,2,0.49652407070496335
6,6,0.4,5,150,0.5,3,0.2829402643643656,2,0.9385407777051938
6,6,0.4,5,600,0.5,3,0.2829402643643656,2,0.999999859113795
6,6,0.4,6,15,0.5,3,0.5237226824320664,2,0.45175066676808223
6,6,0.4,6,25,0.5,3,0.5237226824320664,2,0.7390388697066559
6,6,0.4,6,50,0.5,3,0.5237226824320664,2,0.9738441442993763
6,6,0.4,6,150,0.5,3,0.5237226824320664,2,0.9999997692810878
6,6,0.4,6,600,0.5,3,0.5237226824320664,2,1.0
6,6,0.4,7,15,0.3333333333333333,2,0.5004194762106011,1,0.4458054626320752
6,6,0.4,7,25,0.3333333333333333,2,0.5004194762106011,1,0.7122046065590137
6,6,0.4,7,50,0.3333333333333333,2,0.5004194762106011,1,0.9615869256107269
6,6,0.4,7,150,0.3333333333333333,2,0.5004194762106011,1,0.9999985939497585
6,6,0.4,7,600,0.3333333333333333,2,0.5004194762106011,1,1.0
7,6,0.2857142857142857,0,15,0.6666666666666666,4,0.5635474881230831,1,0.5620218411393064
7,6,0.2857142857142857,0,25,0.6666666666666666,4,0.5635474881230831,1,0.8324256077809151
7,6,0.2857142857142857,0,50,0.6666666666666666,4,0.5635474881230831,1,0.9910401784230333
7,6,0.2857142857142857,0,150,0.6666666666666666,4,0.5635474881230831,1,0.9999999955171569
7,6,0.2857142857142857,0,600,0.6666666666666666,4,0.5635474881230831,1,1.0
7,6,0.2857142857142857,1,15,0.6666666666666666,4,0.4559668065185159,0,0.3993975045007544
7,6,0.2857142857142857,1,25,0.6666666666666666,4,0.4559668065185159,0,0.6363405600126436
7,6,0.2857142857142857,1,50,0.6666666666666666,4,0.4559668065185159,0,0.9213838004283043
7,6,0.2857142857142857,1,150,0.6666666666666666,4,0.4559668065185159,0,0.9999693481811199
7,6,0.2857142857142857,1,600,0.6666666666666666,4,0.4559668065185159,0,1.0
7,6,0.2857142857142857,2,15,0.6666666666666666,4,0.45586428189443584,1,0.37148404531059015
7,6,0.2857142857142857,2,25,0.6666666666666666,4,0.45586428189443584,1,0.6160112406387154
7,6,0.2857142857142857,2,50,0.6666666666666666,4,0.45586428189443584,1,0.9158168871130956
7,6,0.2857142857142857,2,150,0.6666666666666666,4,0.45586428189443584,1,0.9999663789526415
7,6,0.2857142857142857,2,600,0.6666666666666666,4,0.45586428189443584,1,1.0
7,6,0.2857142857142857,3,15,0.5,3,0.6954364139219915,0,0.844624582734719
7,6,0.2857142857142857,3,25,0.5,3,0.6954364139219915,0,0.9806011187150842
7,6,0.2857142857142857,3,50,0.5,3,0.6954364139219915,0,0.999956632122594
7,6,0.2857142857142857,3,150,0.5,3,0.6954364139219915,0,1.0
7,6,0.2857142857142857,3,600,0.5,3,0.6954364139219915,0,1.0
7,6,0.2857142857142857,4,15,0.6666666666666666,4,0.6293412263075933,0,0.7272761334139239
7,6,0.2857142857142857,4,25,0.6666666666666666,4,0.6293412263075933,0,0.9347923352686034
7,6,0.2857142857142857,4,50,0.6666666666666666,4,0.6293412263075933,0,0.999081664021048
7,6,0.2857142857142857,4,150,0.6666666666666666,4,0.6293412263075933,0,0.9999999999988584
7,6,0.2857142857142857,4,600,0.6666666666666666,4,0.6293412263075933,0,1.0
7,6,0.2857142857142857,5,15,0.5,3,0.46254553439284385,2,0.3530488163618615
7,6,0.2857142857142857,5,25,0.5,3,0.46254553439284385,2,0.6097012881984352
7,6,0.2857142857142857,5,50,0.5,3,0.46254553439284385,2,0.9189123593529009
