run_id,timestamp_utc,method,model,level,seed,sample_index,baseline_seed,d,k,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,sampled_edges,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,41,12345,5,6,6,3,3,1,2,0,6,6,0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,42,12345,5,6,6,3,3,1,2,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,43,12345,5,6,6,3,3,1,2,0,6,6,0,0.5,0.5,0.5,1.0,0.6666666666666666,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,44,12345,5,6,6,3,3,1,2,0,5,5,0,0.8,0.6666666666666666,0.7272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,45,12345,5,6,6,3,3,1,2,0,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,46,12345,5,6,6,3,3,1,2,0,3,3,0,0.3333333333333333,0.16666666666666666,0.2222222222222222,1.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,47,12345,5,6,6,3,3,1,2,0,4,4,0,0.5,0.3333333333333333,0.4,1.0,0.3333333333333333,0.5,0.5,0.3333333333333333,0.4,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,48,12345,5,6,6,3,3,1,2,0,2,2,0,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.8,1.0,0.3333333333333333,0.5,4,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,49,12345,5,6,6,3,3,1,2,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,50,12345,5,6,6,3,3,1,2,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,51,12345,5,6,6,3,3,1,2,0,7,7,0,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.0,0.0,0.0,0.0,0.0,0.0,9,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,52,12345,5,6,6,3,3,1,2,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,53,12345,5,6,6,3,3,1,2,0,5,5,0,0.4,0.3333333333333333,0.3636363636363636,1.0,0.0,0.0,0.0,0.0,0.0,9,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,54,12345,5,6,6,3,3,1,2,0,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,55,12345,5,6,6,3,3,1,2,0,1,1,0,1.0,0.16666666666666666,0.2857142857142857,1.0,0.3333333333333333,0.5,1.0,0.16666666666666666,0.2857142857142857,5,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,56,12345,5,6,6,3,3,1,2,0,7,7,0,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,0.6666666666666666,0.8,0.7142857142857143,0.8333333333333334,0.7692307692307692,3,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,57,12345,5,6,6,3,3,1,2,0,7,7,0,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.15384615384615383,8,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,58,12345,5,6,6,3,3,1,2,0,6,6,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,4,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,59,12345,5,6,6,3,3,1,2,0,10,10,0,0.6,1.0,0.7499999999999999,0.0,0.0,0.0,0.2,0.3333333333333333,0.25,8,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,60,12345,5,6,6,3,3,1,2,0,4,4,0,0.75,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,61,12345,5,6,6,3,3,1,2,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,1.0
20260423T093558Z,2026-04-23T09:35:58.378162+00:00,random_uniform,baseline,1,1982942393,62,12345,5,6,6,3,3,1,2,0,6,6,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,5,1.0
