run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,alpha,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,pc_input_directed,pc_input_undirected,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,sanitized_invalid_count,sanitized_cycle_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260427T093501Z,2026-04-27T09:45:06.160704+00:00,active,llm_pc_handoff,claude-sonnet-4-6,3,160719912,1607199120310,7,9,25,15,1.0,1,0.05,success,,19.289338,4225,937,5162,0,0,9,6,3,2,3,2,3,1,2,0,1,1,0,0,0,5,0,1.0,0.5555555555555556,0.7142857142857143,1.0,0.3333333333333333,0.5,1.0,0.5555555555555556,0.7142857142857143,4,1.0
20260427T093501Z,2026-04-27T09:45:25.465484+00:00,active,llm_pc_handoff,claude-sonnet-4-6,3,362855691,3628556910310,7,9,25,15,1.0,1,0.05,success,,25.857507,4236,1392,5628,0,0,9,5,4,1,2,0,4,1,2,0,1,1,0,0,0,4,0,1.0,0.4444444444444444,0.6153846153846153,0.3333333333333333,0.2,0.25,0.25,0.1111111111111111,0.15384615384615383,8,1.0
20260427T093501Z,2026-04-27T09:45:51.336580+00:00,active,llm_pc_handoff,claude-sonnet-4-6,3,589330817,5893308170310,7,9,25,15,1.0,1,0.05,success,,31.835359,4256,1428,5684,0,0,9,6,3,1,2,0,5,1,2,0,1,1,0,0,0,5,0,1.0,0.5555555555555556,0.7142857142857143,1.0,0.3333333333333333,0.5,0.8,0.4444444444444444,0.5714285714285714,5,1.0
20260427T093501Z,2026-04-27T09:46:23.181480+00:00,active,llm_pc_handoff,claude-sonnet-4-6,3,1877150515,18771505150310,7,9,25,15,1.0,1,0.05,success,,28.153666,4237,1382,5619,0,0,9,6,3,1,2,0,4,1,2,0,1,1,0,0,0,4,0,1.0,0.4444444444444444,0.6153846153846153,1.0,0.3333333333333333,0.5,1.0,0.4444444444444444,0.6153846153846153,5,1.0
20260427T093501Z,2026-04-27T09:46:51.339800+00:00,active,llm_pc_handoff,claude-sonnet-4-6,3,370845052,3708450520310,7,9,25,15,1.0,1,0.05,success,,24.045209,7796,1394,9190,0,0,9,6,3,2,3,3,2,2,3,0,2,1,0,0,0,5,0,1.0,0.5555555555555556,0.7142857142857143,0.5,0.3333333333333333,0.4,0.4,0.2222222222222222,0.2857142857142857,7,1.0
20260427T093501Z,2026-04-27T09:47:15.393501+00:00,active,llm_pc_handoff,claude-sonnet-4-6,3,976218778,9762187780310,7,9,25,15,1.0,1,0.05,success,,20.193257,7726,1177,8903,0,0,9,7,2,2,3,2,2,2,3,0,2,1,0,0,0,4,0,1.0,0.4444444444444444,0.6153846153846153,0.6666666666666666,0.2857142857142857,0.4,0.75,0.3333333333333333,0.46153846153846156,6,1.0
20260427T093501Z,2026-04-27T09:47:35.593969+00:00,active,llm_pc_handoff,claude-sonnet-4-6,3,1286035187,12860351870310,7,9,25,15,1.0,1,0.05,success,,16.791015,4221,915,5136,0,0,9,6,3,1,2,3,2,1,2,0,1,1,0,0,0,5,0,1.0,0.5555555555555556,0.7142857142857143,1.0,0.5,0.6666666666666666,0.8,0.4444444444444444,0.5714285714285714,5,1.0
20260427T093501Z,2026-04-27T09:47:52.397337+00:00,active,llm_pc_handoff,claude-sonnet-4-6,4,518645330,5186453300411,5,6,25,15,1.0,0,0.05,success,,13.297493,3920,750,4670,0,0,6,3,3,1,1,2,1,1,2,0,1,1,0,0,0,3,0,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8,0.6666666666666666,0.3333333333333333,0.4444444444444444,4,1.0
20260427T093501Z,2026-04-27T09:48:05.698743+00:00,active,llm_pc_handoff,claude-sonnet-4-6,4,511033471,5110334710411,5,6,25,15,1.0,0,0.05,success,,12.296589,3938,751,4689,0,0,6,0,6,2,2,2,1,1,2,0,1,1,0,0,0,3,0,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.2222222222222222,5,1.0
20260427T093501Z,2026-04-27T09:48:18.005122+00:00,active,llm_pc_handoff,claude-sonnet-4-6,4,1198956094,11989560940411,5,6,25,15,1.0,0,0.05,success,,34.748727,3932,1707,5639,0,0,6,3,3,1,1,0,3,1,2,0,1,1,0,0,0,3,0,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,4,1.0
