run_id,timestamp_utc,method,model,level,seed,sample_index,baseline_seed,d,k,max_edges,density,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,sampled_edges,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260423T095623Z,2026-04-23T09:56:23.361031+00:00,random_uniform,baseline,2,868078822,4,12345,8,9,28,0.32142857142857145,9,3,6,1,2,0,28,28,0,0.32142857142857145,1.0,0.4864864864864865,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.10714285714285714,0.3333333333333333,0.16216216216216214,25,1.0
20260423T095623Z,2026-04-23T09:56:23.362787+00:00,random_uniform,baseline,3,452641024,0,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,23,23,0,0.30434782608695654,0.5833333333333334,0.4,0.6666666666666666,0.4,0.5,0.17391304347826086,0.3333333333333333,0.22857142857142854,24,1.0
20260423T095623Z,2026-04-23T09:56:23.362935+00:00,random_uniform,baseline,3,452641024,1,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,24,24,0,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.2,0.25,0.16666666666666666,0.3333333333333333,0.2222222222222222,24,1.0
20260423T095623Z,2026-04-23T09:56:23.363081+00:00,random_uniform,baseline,3,452641024,2,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,23,23,0,0.2608695652173913,0.5,0.3428571428571428,0.4,0.2,0.26666666666666666,0.13043478260869565,0.25,0.1714285714285714,26,1.0
20260423T095623Z,2026-04-23T09:56:23.363248+00:00,random_uniform,baseline,3,452641024,3,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,42,42,0,0.2619047619047619,0.9166666666666666,0.4074074074074074,0.3333333333333333,0.3,0.3157894736842105,0.09523809523809523,0.3333333333333333,0.14814814814814814,39,1.0
20260423T095623Z,2026-04-23T09:56:23.363366+00:00,random_uniform,baseline,3,452641024,4,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,8,8,0,0.25,0.16666666666666666,0.2,0.5,0.1,0.16666666666666669,0.125,0.08333333333333333,0.1,17,1.0
20260423T095623Z,2026-04-23T09:56:23.366216+00:00,random_uniform,baseline,3,963592850,0,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,7,7,0,0.2857142857142857,0.16666666666666666,0.2105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,17,1.0
20260423T095623Z,2026-04-23T09:56:23.366395+00:00,random_uniform,baseline,3,963592850,1,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,21,21,0,0.3333333333333333,0.5833333333333334,0.4242424242424242,0.4,0.2,0.26666666666666666,0.14285714285714285,0.25,0.18181818181818182,23,1.0
20260423T095623Z,2026-04-23T09:56:23.366528+00:00,random_uniform,baseline,3,963592850,2,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,6,6,0,0.16666666666666666,0.08333333333333333,0.1111111111111111,1.0,0.1,0.18181818181818182,0.16666666666666666,0.08333333333333333,0.1111111111111111,16,1.0
20260423T095623Z,2026-04-23T09:56:23.366701+00:00,random_uniform,baseline,3,963592850,3,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,45,45,0,0.26666666666666666,1.0,0.4210526315789474,0.5,0.5,0.5,0.1111111111111111,0.4166666666666667,0.17543859649122806,40,1.0
20260423T095623Z,2026-04-23T09:56:23.366839+00:00,random_uniform,baseline,3,963592850,4,12345,10,12,45,0.26666666666666666,12,10,2,2,3,0,14,14,0,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.25,0.1,0.14285714285714288,0.07142857142857142,0.08333333333333333,0.07692307692307691,20,1.0
20260423T095623Z,2026-04-23T09:56:23.369683+00:00,random_uniform,baseline,4,1257633785,0,12345,12,14,66,0.21212121212121213,14,9,5,2,3,0,56,56,0,0.21428571428571427,0.8571428571428571,0.34285714285714286,0.625,0.5555555555555556,0.5882352941176471,0.16071428571428573,0.6428571428571429,0.2571428571428572,49,1.0
20260423T095623Z,2026-04-23T09:56:23.369868+00:00,random_uniform,baseline,4,1257633785,1,12345,12,14,66,0.21212121212121213,14,9,5,2,3,0,37,37,0,0.16216216216216217,0.42857142857142855,0.23529411764705885,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.08108108108108109,0.21428571428571427,0.11764705882352942,42,1.0
20260423T095623Z,2026-04-23T09:56:23.370008+00:00,random_uniform,baseline,4,1257633785,2,12345,12,14,66,0.21212121212121213,14,9,5,2,3,0,17,17,0,0.058823529411764705,0.07142857142857142,0.06451612903225808,1.0,0.1111111111111111,0.19999999999999998,0.058823529411764705,0.07142857142857142,0.06451612903225808,29,1.0
20260423T095623Z,2026-04-23T09:56:23.370129+00:00,random_uniform,baseline,4,1257633785,3,12345,12,14,66,0.21212121212121213,14,9,5,2,3,0,8,8,0,0.375,0.21428571428571427,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,19,1.0
20260423T095623Z,2026-04-23T09:56:23.370299+00:00,random_uniform,baseline,4,1257633785,4,12345,12,14,66,0.21212121212121213,14,9,5,2,3,0,40,40,0,0.325,0.9285714285714286,0.48148148148148157,0.875,0.7777777777777778,0.823529411764706,0.225,0.6428571428571429,0.33333333333333337,32,1.0
20260423T095623Z,2026-04-23T09:56:23.375100+00:00,random_uniform,baseline,4,1100146725,0,12345,12,14,66,0.21212121212121213,14,10,4,2,3,0,1,1,0,1.0,0.07142857142857142,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,14,1.0
20260423T095623Z,2026-04-23T09:56:23.375311+00:00,random_uniform,baseline,4,1100146725,1,12345,12,14,66,0.21212121212121213,14,10,4,2,3,0,56,56,0,0.21428571428571427,0.8571428571428571,0.34285714285714286,0.6666666666666666,0.6,0.631578947368421,0.14285714285714285,0.5714285714285714,0.2285714285714286,50,1.0
