panel,level,method,model,n_total,n_success,n_failed,skeleton_f1_mean,skeleton_f1_std,skeleton_f1_ci95_low,skeleton_f1_ci95_high,directed_f1_mean,directed_f1_std,directed_f1_ci95_low,directed_f1_ci95_high,dag_shd_mean,dag_shd_std,dag_shd_ci95_low,dag_shd_ci95_high,efficiency_mean,efficiency_std,efficiency_ci95_low,efficiency_ci95_high,submit_directed_mean,submit_undirected_mean,interventions_used_mean,total_actions_mean,stats_actions_mean,intervene_actions_mean,submit_actions_mean,sanitized_overlap_count_mean,cost_usd_mean
active,3,llm_stats_cpdag_greedy,openrouter/anthropic/claude-haiku-4.5,9,7,2,0.5024992605737947,0.09506541394525644,0.4320738163706778,0.5729247047769116,0.3209849157054126,0.123788788051218,0.22928089818656272,0.4126889332242625,14.428571428571429,4.353433237386437,11.203502953846177,17.653639903296682,0.9047619047619048,0.25197631533948484,0.7180952380952381,1.0914285714285714,12.285714285714286,0.0,0.8571428571428571,37.857142857142854,36.0,0.8571428571428571,1.0,0.0,0.3290541428571428
active,3,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,3,pc_cpdag_llm,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.779334700387332,0.08734707053518585,0.7188062686129666,0.8398631321616974,0.5018217893217893,0.16169477020270884,0.38977303019890813,0.6138705484446705,7.625,1.9226098333849673,6.292699358252801,8.9573006417472,1.0,0.0,1.0,1.0,7.875,0.875,1.625,2.625,0.0,1.625,1.0,0.0,0.0126005
active,3,pc_greedy,baseline,8,8,0,0.779334700387332,0.08734707053518585,0.7188062686129666,0.8398631321616974,0.6966564137616769,0.12410007912518392,0.6106594464163763,0.7826533811069775,5.5,1.6035674514745464,4.3887844493528725,6.6112155506471275,0.6354166666666666,0.2670291435256899,0.4503749108684445,0.8204584224648888,8.5,0.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0
active,4,llm_raw,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.2167669096548407,0.09557657193656584,0.15053572435870932,0.28299809495097206,0.10311447811447812,0.08424119577900135,0.04473830773969461,0.16149064848926162,22.5,2.7774602993176543,20.575318208118546,24.424681791881454,1.0,0.0,1.0,1.0,10.75,2.0,2.125,3.125,0.0,2.125,1.0,0.0,0.033642
active,4,llm_stats,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.15635723039215688,0.09318231157823458,0.09178518287662162,0.22092927790769212,0.07524509803921568,0.08914216504583648,0.013472729233525514,0.13701746684490584,19.5,14.451890632617687,9.485350730055497,29.514649269944503,1.0,0.0,1.0,1.0,1.875,6.375,0.625,11.125,9.5,0.625,1.0,0.0,0.11575599999999998
active,4,llm_stats_cpdag_greedy,openrouter/anthropic/claude-haiku-4.5,10,6,4,0.45029487420791775,0.1802970629158522,0.3060271774942554,0.59456257092158,0.25769778474530747,0.12298123231239051,0.15929230415798912,0.3561032653326258,19.833333333333332,8.304617189652191,13.18825562289399,26.478411043772674,0.7277777777777777,0.21747711671873962,0.5537598419915243,0.9017957135640312,14.333333333333334,1.8333333333333333,3.0,39.0,35.0,3.0,1.0,0.0,0.34377450000000004
active,4,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,4,pc_cpdag_llm,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.7625576416337285,0.05500375230359657,0.7244419859140417,0.8006732973534153,0.44680428426137814,0.18355857441140233,0.31960468180436485,0.5740038867183914,9.625,2.445841952609133,7.930117998207545,11.319882001792456,1.0,0.0,1.0,1.0,6.5,2.75,2.125,3.125,0.0,2.125,1.0,0.0,0.0183305
active,4,pc_greedy,baseline,8,8,0,0.7747315546772069,0.06905786277089626,0.7268768972788472,0.8225862120755666,0.6895503952569171,0.12391634268288049,0.6036807507702343,0.7754200397435999,6.25,2.052872551885702,4.82743189969689,7.67256810030311,0.8541666666666666,0.20773724245970415,0.7102121020753809,0.9981212312579524,9.5,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0
active,5,llm_raw,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.22963471230786223,0.12137457306821059,0.14552642430131152,0.31374300031441293,0.047268518518518515,0.05588541842163726,0.008541899349838955,0.08599513768719808,27.375,9.085899593797603,21.078792808364707,33.6712071916353,1.0,0.0,1.0,1.0,14.75,1.0,2.25,3.25,0.0,2.25,1.0,0.0,0.0401865
active,5,llm_stats,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.13147451963241436,0.10462179129176763,0.058975317111767636,0.2039737221530611,0.025793650793650792,0.047948595133311796,-0.007433030438139608,0.05902033202544119,17.25,1.2817398889233114,16.361799572168533,18.138200427831467,1.0,0.0,1.0,1.0,2.0,0.75,0.75,12.0,10.25,0.75,1.0,0.0,0.135382375
active,5,llm_stats_cpdag_greedy,openrouter/anthropic/claude-haiku-4.5,9,7,2,0.2216635698034848,0.08942505078942559,0.15541656510040552,0.2879105745065641,0.1128977688026735,0.09418873773916468,0.04312177542161763,0.18267376218372938,19.428571428571427,2.878491668515698,17.296154958929534,21.56098789821332,0.9285714285714286,0.18898223650461363,0.7885714285714286,1.0685714285714285,7.428571428571429,0.14285714285714285,1.0,33.42857142857143,31.428571428571427,1.0,1.0,0.0,0.33910300000000004
active,5,oracle,baseline,8,8,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active,5,pc_cpdag_llm,openrouter/anthropic/claude-haiku-4.5,8,8,0,0.7534523458661389,0.07414291446348567,0.7020739274239552,0.8048307643083225,0.46499828077414285,0.20804995229361764,0.3208270193236352,0.6091695422246505,10.75,3.1959796173138706,8.535299117262108,12.964700882737892,1.0,0.0,1.0,1.0,9.375,1.75,2.0,3.0,0.0,2.0,1.0,0.0,0.018011875
active,5,pc_greedy,baseline,8,8,0,0.7590740389878321,0.07474396559058294,0.7072791133643944,0.8108689646112698,0.6419633208426312,0.14923782884743161,0.5385467816708065,0.7453798600144559,8.125,2.5319388392523003,6.370455899670801,9.879544100329198,0.7208333333333333,0.2383391607679182,0.5556727212680538,0.8859939453986129,11.0,0.25,3.375,0.0,0.0,0.0,0.0,0.0,0.0
observational,0,pc,baseline,8,8,0,0.975,0.07071067811865474,0.9259999999999999,1.024,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,0.25,2.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
observational,1,pc,baseline,8,8,0,0.8477272727272727,0.11860563367742534,0.7655377618242424,0.929916783630303,0.26388888888888884,0.2890567278011796,0.06358279596059688,0.4641949818171808,5.125,1.5526475085202969,4.049070169574242,6.200929830425758,1.0,0.0,1.0,1.0,1.25,3.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
observational,2,pc,baseline,8,8,0,0.7403186274509804,0.10442342029393886,0.6679568890185341,0.8126803658834267,0.2710726773226773,0.29053835517588306,0.06973986900581783,0.47240548563953677,7.625,2.5035688811888406,5.8901152776048775,9.359884722395122,1.0,0.0,1.0,1.0,3.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
observational,3,pc,baseline,8,8,0,0.779334700387332,0.08734707053518585,0.7188062686129666,0.8398631321616974,0.3447368421052631,0.2703929968927752,0.15736405485079344,0.5321096293597328,9.5,2.7255405754769875,7.611296741147514,11.388703258852486,1.0,0.0,1.0,1.0,4.25,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
observational,4,pc,baseline,8,8,0,0.7747315546772069,0.06905786277089626,0.7268768972788472,0.8225862120755666,0.36637055539919317,0.15612154017929283,0.2581838476441285,0.47455726315425784,10.875,1.807721533549109,9.62231288822787,12.12768711177213,1.0,0.0,1.0,1.0,4.625,4.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
observational,5,pc,baseline,8,8,0,0.7590740389878321,0.07474396559058294,0.7072791133643944,0.8108689646112698,0.3336530638189677,0.2201557347229862,0.1810929231380321,0.4862132044999033,13.0,2.5634797778466227,11.223599144337067,14.776400855662933,1.0,0.0,1.0,1.0,5.75,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
