run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,alpha,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,cache_creation_input_tokens,cache_read_input_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,pc_observational_actions,meek_closure_actions,sanitized_overlap_count,sanitized_invalid_count,sanitized_cycle_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260428T070910Z,2026-04-28T07:12:10.448818+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,3,1329552115,13295521150310,10,12,50,25,1.0,1,0.05,success,,5.696781,5413,431,5844,0,0,12,6,6,2,3,1,3,0,1,1,1,0,0,0,0,6,0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.08333333333333333,0.1111111111111111,11,1.0
20260428T070910Z,2026-04-28T07:12:16.157983+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,3,160719912,1607199120310,10,12,50,25,1.0,1,0.05,success,,7.140824,5442,484,5926,0,0,12,10,2,2,3,1,3,0,1,1,1,0,0,0,0,10,0,0.9,0.75,0.8181818181818182,0.75,0.6,0.6666666666666665,0.6,0.5,0.5454545454545454,7,1.0
20260428T070910Z,2026-04-28T07:12:23.342442+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,3,362855691,3628556910310,10,12,50,25,1.0,1,0.05,success,,4.946679,5444,424,5868,0,0,12,10,2,2,3,1,3,0,1,1,1,0,0,0,0,10,0,0.9,0.75,0.8181818181818182,0.5714285714285714,0.4,0.47058823529411764,0.4,0.3333333333333333,0.3636363636363636,9,1.0
20260428T070910Z,2026-04-28T07:12:28.297610+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,3,589330817,5893308170310,10,12,50,25,1.0,1,0.05,success,,6.3525,5416,473,5889,0,0,12,9,3,1,2,1,3,0,1,1,1,0,0,0,0,9,0,1.0,0.75,0.8571428571428571,1.0,0.6666666666666666,0.8,0.8888888888888888,0.6666666666666666,0.761904761904762,4,1.0
20260428T070910Z,2026-04-28T07:12:34.661853+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,3,1877150515,18771505150310,10,12,50,25,1.0,1,0.05,success,,6.323657,5422,539,5961,0,0,12,7,5,1,2,1,3,0,1,1,1,0,0,0,0,9,0,0.8888888888888888,0.6666666666666666,0.761904761904762,0.6666666666666666,0.2857142857142857,0.4,0.5555555555555556,0.4166666666666667,0.4761904761904762,8,1.0
20260428T070910Z,2026-04-28T07:12:40.994647+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,3,370845052,3708450520310,10,12,50,25,1.0,1,0.05,success,,7.187192,5449,546,5995,0,0,12,10,2,2,3,1,3,0,1,1,1,0,0,0,0,10,0,0.9,0.75,0.8181818181818182,1.0,0.7,0.8235294117647058,0.8,0.6666666666666666,0.7272727272727272,5,1.0
20260428T070910Z,2026-04-28T07:12:48.189187+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,3,976218778,9762187780310,10,12,50,25,1.0,1,0.05,success,,6.265652,5440,494,5934,0,0,12,9,3,3,4,1,3,0,1,1,1,0,2,0,0,17,4,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.5,0.3333333333333333,0.4,0.17647058823529413,0.25,0.20689655172413793,20,1.0
20260428T070910Z,2026-04-28T07:12:54.463735+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,3,1286035187,12860351870310,10,12,50,25,1.0,1,0.05,success,,6.51076,5418,539,5957,0,0,12,8,4,1,2,1,3,0,1,1,1,0,0,0,0,12,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.375,0.5,0.4166666666666667,0.4166666666666667,0.4166666666666667,11,1.0
20260428T070910Z,2026-04-28T07:13:00.987595+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,4,518645330,5186453300411,12,14,50,25,1.0,0,0.05,success,,6.494745,5948,506,6454,0,0,14,6,8,3,3,1,3,0,1,1,1,0,3,0,0,13,1,0.6428571428571429,0.6428571428571429,0.6428571428571429,1.0,0.3333333333333333,0.5,0.38461538461538464,0.35714285714285715,0.3703703703703704,14,1.0
20260428T070910Z,2026-04-28T07:13:07.490248+00:00,active,llm_pc_tools,openai/gpt-5.4-mini,4,511033471,5110334710411,12,14,50,25,1.0,0,0.05,success,,8.753518,12409,660,13069,0,0,14,10,4,4,4,2,4,0,2,1,1,0,3,0,0,10,0,1.0,0.7142857142857143,0.8333333333333333,0.8571428571428571,0.6,0.7058823529411764,0.7,0.5,0.5833333333333334,7,1.0
