run_id,timestamp_utc,panel,method,model,level,seed,runtime_seed,d,k,n_obs,n_int,noise_var,budget_slack,status,error,latency_sec,prompt_tokens,completion_tokens,total_tokens,true_edges,cpdag_directed,cpdag_undirected,opt_set_size,budget,interventions_used,total_actions,stats_actions,intervene_actions,submit_actions,sanitized_overlap_count,submit_directed,submit_undirected,skeleton_precision,skeleton_recall,skeleton_f1,compelled_precision,compelled_recall,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency
20260422T105637Z,2026-04-22T11:00:11.307979+00:00,active,pc_greedy,baseline,0,1539978433,15399784330007,4,5,50,25,0.5,2,success,,0.009168,0,0,0,5,0,5,1,3,2,0,0,0,0,0,4,0,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,0.8,0.888888888888889,1,0.5
20260422T105637Z,2026-04-22T11:00:11.374109+00:00,active,llm_raw,gpt-5.4,0,1539978433,15399784330007,4,5,50,25,0.5,2,success,,13.311379,9438,572,10010,5,0,5,1,3,2,3,0,2,1,0,3,0,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,4,0.5
20260422T105637Z,2026-04-22T11:00:24.718030+00:00,active,llm_stats,gpt-5.4,0,1539978433,15399784330007,4,5,50,25,0.5,2,success,,18.708892,20905,918,21823,5,0,5,1,3,1,7,5,1,1,0,3,0,0.6666666666666666,0.4,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,5,1.0
20260422T105637Z,2026-04-22T11:00:43.457427+00:00,active,oracle,baseline,0,1539978433,15399784330007,4,5,50,25,0.5,2,success,,0.000455,0,0,0,5,0,5,1,3,0,0,0,0,0,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0
20260422T105637Z,2026-04-22T11:00:43.491351+00:00,observational,pc,baseline,0,868078822,8680788220007,4,5,50,25,0.5,2,success,,0.008633,0,0,0,5,0,5,1,3,0,0,0,0,0,0,2,1,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,0.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T11:00:43.530565+00:00,observational,llm_raw_obs,gpt-5.4,0,868078822,8680788220007,4,5,50,25,0.5,2,success,,3.887016,2348,230,2578,5,0,5,1,3,0,1,0,0,1,0,4,0,1.0,0.8,0.888888888888889,1.0,1.0,1.0,0.25,0.2,0.22222222222222224,4,1.0
20260422T105637Z,2026-04-22T11:00:47.449595+00:00,observational,llm_stats_obs,gpt-5.4,0,868078822,8680788220007,4,5,50,25,0.5,2,success,,9.387369,10379,468,10847,5,0,5,1,3,0,4,3,0,1,0,0,1,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.0,0.0,5,1.0
20260422T105637Z,2026-04-22T11:00:56.874371+00:00,active,pc_greedy,baseline,0,868078822,8680788220007,4,5,50,25,0.5,2,success,,0.010649,0,0,0,5,0,5,1,3,1,0,0,0,0,0,3,0,1.0,0.6,0.7499999999999999,1.0,1.0,1.0,0.3333333333333333,0.2,0.25,4,1.0
20260422T105637Z,2026-04-22T11:00:56.911050+00:00,active,llm_raw,gpt-5.4,0,868078822,8680788220007,4,5,50,25,0.5,2,failed,"ValueError: Action 'correlation' is not allowed for this agent: ['intervene', 'submit_graph']",2.063759,,,,5,0,5,1,3,,,,,,,,,,,,,,,,,,,
20260422T105637Z,2026-04-22T11:00:59.007750+00:00,active,llm_stats,gpt-5.4,0,868078822,8680788220007,4,5,50,25,0.5,2,success,,20.839809,20855,917,21772,5,0,5,1,3,1,7,5,1,1,0,4,0,0.75,0.6,0.6666666666666665,1.0,1.0,1.0,0.25,0.2,0.22222222222222224,5,1.0
