level_set,level,instance_index,seed,sample_index,d,k,M,rho,n_obs,n_int,noise_var,budget_slack,sampled_edges,expected_f1,midpoint_envelope,directed_f1,dag_shd
v0_like_density_probe,0,0,20260427,83,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.7499999999999999,2.0
v0_like_density_probe,0,0,20260427,84,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,3.0
v0_like_density_probe,0,0,20260427,85,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,0,20260427,86,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,5.0
v0_like_density_probe,0,0,20260427,87,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,0,20260427,88,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,89,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,5.0
v0_like_density_probe,0,0,20260427,90,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.7499999999999999,2.0
v0_like_density_probe,0,0,20260427,91,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.5,2.0
v0_like_density_probe,0,0,20260427,92,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.5,4.0
v0_like_density_probe,0,0,20260427,93,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,94,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.5714285714285715,3.0
v0_like_density_probe,0,0,20260427,95,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,0,20260427,96,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,0,20260427,97,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.5,2.0
v0_like_density_probe,0,0,20260427,98,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.6666666666666666,2.0
v0_like_density_probe,0,0,20260427,99,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,0,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,1,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,1,20260428,2,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,3.0
v0_like_density_probe,0,1,20260428,3,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,4,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,1,20260428,5,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.5,2.0
v0_like_density_probe,0,1,20260428,6,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,6.0
v0_like_density_probe,0,1,20260428,7,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,3.0
v0_like_density_probe,0,1,20260428,8,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,9,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,1,20260428,10,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,1,20260428,11,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,1,20260428,12,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,1,20260428,13,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,5.0
v0_like_density_probe,0,1,20260428,14,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,15,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.5,4.0
v0_like_density_probe,0,1,20260428,16,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,1,20260428,17,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,1,20260428,18,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,1,20260428,19,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,20,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,3.0
v0_like_density_probe,0,1,20260428,21,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,5.0
v0_like_density_probe,0,1,20260428,22,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,23,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,2.0
v0_like_density_probe,0,1,20260428,24,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,25,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,26,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.0,6.0
v0_like_density_probe,0,1,20260428,27,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,1,20260428,28,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,29,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,1,20260428,30,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,31,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,32,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,6.0
v0_like_density_probe,0,1,20260428,33,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,1,20260428,34,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,35,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.0,6.0
v0_like_density_probe,0,1,20260428,36,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,37,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,38,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,4.0
v0_like_density_probe,0,1,20260428,39,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,40,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,41,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,3.0
v0_like_density_probe,0,1,20260428,42,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,1,20260428,43,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.5714285714285715,3.0
v0_like_density_probe,0,1,20260428,44,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,45,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.0,6.0
v0_like_density_probe,0,1,20260428,46,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,47,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.0,6.0
v0_like_density_probe,0,1,20260428,48,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,1,20260428,49,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,50,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,51,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,52,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.6666666666666666,2.0
v0_like_density_probe,0,1,20260428,53,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,1,20260428,54,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,55,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.6666666666666666,2.0
v0_like_density_probe,0,1,20260428,56,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,1,20260428,57,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,1,20260428,58,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,59,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,1,20260428,60,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,5.0
v0_like_density_probe,0,1,20260428,61,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,62,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,3.0
v0_like_density_probe,0,1,20260428,63,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,4.0
v0_like_density_probe,0,1,20260428,64,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,65,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,66,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.5,3.0
v0_like_density_probe,0,1,20260428,67,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,1,20260428,68,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.5,2.0
v0_like_density_probe,0,1,20260428,69,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,2.0
v0_like_density_probe,0,1,20260428,70,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,71,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.4444444444444444,4.0
v0_like_density_probe,0,1,20260428,72,4,3,6,0.5,50,25,0.5,2,6,0.21522108843537416,0.25,0.2222222222222222,5.0
v0_like_density_probe,0,1,20260428,73,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,1,20260428,74,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,5.0
v0_like_density_probe,0,1,20260428,75,4,3,6,0.5,50,25,0.5,2,3,0.21522108843537416,0.25,0.3333333333333333,4.0
v0_like_density_probe,0,1,20260428,76,4,3,6,0.5,50,25,0.5,2,2,0.21522108843537416,0.25,0.4,3.0
v0_like_density_probe,0,1,20260428,77,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,78,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
v0_like_density_probe,0,1,20260428,79,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.25,5.0
v0_like_density_probe,0,1,20260428,80,4,3,6,0.5,50,25,0.5,2,0,0.21522108843537416,0.25,0.0,3.0
v0_like_density_probe,0,1,20260428,81,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.0,5.0
v0_like_density_probe,0,1,20260428,82,4,3,6,0.5,50,25,0.5,2,4,0.21522108843537416,0.25,0.28571428571428575,4.0
v0_like_density_probe,0,1,20260428,83,4,3,6,0.5,50,25,0.5,2,5,0.21522108843537416,0.25,0.5,3.0
v0_like_density_probe,0,1,20260428,84,4,3,6,0.5,50,25,0.5,2,1,0.21522108843537416,0.25,0.0,4.0
